question_id,category,company,role,round,topic,difficulty,question,evidence_type,source_note
1614,Service Companies,Genpact,Security Engineer,Online Assessment,Java,Medium,What are the common mistakes candidates make when working with Java? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1615,AI/ML Companies,Intel,Data Scientist,System Design,Model Evaluation,Easy,Explain Model Evaluation and discuss where it is useful in a production ML system. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1616,Service Companies,Cognizant,ML Engineer,Online Assessment,SQL,Easy,Write a solution for a programming problem involving SQL. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1617,Service Companies,Deloitte,Cloud Engineer,Coding Round,OOP,Medium,How would you optimize a solution that uses OOP? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1618,Service Companies,Coforge,Data Scientist,Managerial Round,Problem Solving,Medium,How would you troubleshoot a client issue involving Problem Solving? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1619,Product Companies,Qualcomm,Security Engineer,Online Assessment,DBMS,Medium,How would you design a scalable DBMS solution for a product used by millions of users? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1620,Product Companies,Samsung,ML Engineer,Online Assessment,Debugging,Hard,How would you debug a production issue involving Debugging? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1621,Cloud Companies,Dell Technologies,ML Engineer,Coding Round,Storage,Easy,What are the availability and reliability trade-offs of Storage? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1622,Product Companies,ServiceNow,Software Engineer,Technical Round,Computer Networks,Easy,Explain Computer Networks and describe a situation where you used it in a project. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1623,AI/ML Companies,AMD,Systems Engineer,System Design,Statistics,Hard,How would you explain Statistics to an engineering team that has not used it before? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1624,Product Companies,Samsung,Security Engineer,Managerial Round,API Design,Easy,Describe an implementation of API Design and explain its time or resource complexity. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1625,Product Companies,Dell Technologies,Software Engineer,HR Round,DBMS,Hard,Compare two common approaches to DBMS. When would you choose each? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1626,AI/ML Companies,Adobe,QA Engineer,Technical Round,NLP,Medium,How would you evaluate a system based on NLP? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1627,AI/ML Companies,Intel,Cloud Engineer,Managerial Round,System Design,Easy,Explain System Design and discuss where it is useful in a production ML system. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1628,AI/ML Companies,Bosch,Cloud Engineer,Online Assessment,Deep Learning,Medium,What data problems can affect a solution based on Deep Learning? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1629,Cloud Companies,VMware,Data Scientist,HR Round,Reliability,Easy,How would you monitor and alert on a system using Reliability? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1630,Cloud Companies,Rackspace Technology,Cloud Engineer,Coding Round,IAM,Medium,How would you recover from a major failure in a system involving IAM? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1631,Cloud Companies,Salesforce,Data Engineer,Coding Round,Storage,Easy,Explain Storage and describe a practical production use case. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1632,AI/ML Companies,Hewlett Packard Enterprise,Frontend Engineer,Technical Round,Probability,Medium,How would you evaluate a system based on Probability? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1633,AI/ML Companies,Intel,Security Engineer,Online Assessment,Statistics,Easy,What assumptions are important when applying Statistics? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1634,HR/Behavioral,Cisco,Backend Engineer,Managerial Round,Problem Solving,Easy,Describe a time you had to persuade others to accept your idea. Answer using a clear situation-action-result structure.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1635,Cloud Companies,Akamai,Systems Engineer,Managerial Round,Scalability,Hard,How would you recover from a major failure in a system involving Scalability? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1636,Service Companies,Mphasis,Data Engineer,Coding Round,DBMS,Easy,Write a solution for a programming problem involving DBMS. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1637,Product Companies,Atlassian,DevOps Engineer,Technical Round,DBMS,Medium,How would you improve an existing system that has problems related to DBMS? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1638,AI/ML Companies,MathWorks,Software Engineer,HR Round,System Design,Easy,How would you evaluate a system based on System Design? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1639,Product Companies,PayPal,Cloud Engineer,Technical Round,DSA,Hard,How would you improve an existing system that has problems related to DSA? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1640,Product Companies,PayPal,Data Scientist,System Design,Python,Hard,What failure scenarios should be considered when designing around Python? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1641,AI/ML Companies,Intel,Backend Engineer,System Design,Data Structures,Hard,"How would you improve the accuracy, latency, or reliability of a system using Data Structures? Consider both performance and maintainability.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1642,HR/Behavioral,Adobe,Data Scientist,Behavioral Round,Time Management,Medium,Tell me about a time you helped a teammate succeed. Explain how you communicated with the people involved.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1643,AI/ML Companies,Bosch,Data Engineer,Managerial Round,Probability,Easy,What data problems can affect a solution based on Probability? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1644,Product Companies,Qualcomm,Security Engineer,Coding Round,DBMS,Medium,How would you improve an existing system that has problems related to DBMS? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1645,Cloud Companies,Huawei Cloud,Frontend Engineer,Online Assessment,Networking,Easy,How would you reduce cost without sacrificing reliability in a Networking architecture? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1646,Product Companies,Workday,Security Engineer,Managerial Round,OOP,Medium,What are the most important trade-offs when working with OOP? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1647,Service Companies,Persistent Systems,DevOps Engineer,Online Assessment,Testing,Hard,Explain Testing with a practical example. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1648,Cybersecurity Companies,IBM Security,Cloud Engineer,System Design,Web Security,Hard,What logs or telemetry would you collect for Web Security? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1649,Service Companies,Accenture,Backend Engineer,Online Assessment,Computer Networks,Hard,What questions would you ask before implementing Computer Networks for a client? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1650,AI/ML Companies,IBM,Backend Engineer,Coding Round,Generative AI,Medium,How would you explain Generative AI to an engineering team that has not used it before? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1651,Service Companies,NTT DATA,Cloud Engineer,System Design,Project Discussion,Easy,What are the common mistakes candidates make when working with Project Discussion? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1652,Product Companies,Qualcomm,Security Engineer,Coding Round,DSA,Easy,Describe an implementation of DSA and explain its time or resource complexity. Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1653,Product Companies,eBay,Cloud Engineer,System Design,Testing,Hard,Compare two common approaches to Testing. When would you choose each? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1654,Product Companies,Adobe,Frontend Engineer,System Design,JavaScript,Easy,"What performance problems can occur with JavaScript, and how would you identify them? Discuss common failure cases.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1655,Product Companies,ServiceNow,QA Engineer,System Design,DSA,Hard,Compare two common approaches to DSA. When would you choose each? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1656,Service Companies,Infosys,Data Scientist,HR Round,Operating Systems,Hard,Describe a project where Operating Systems could be used effectively. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1657,Product Companies,eBay,Cloud Engineer,HR Round,System Design,Easy,How would you test a feature that depends heavily on System Design? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1658,Product Companies,Adobe,Full Stack Engineer,System Design,Python,Easy,How would you design a scalable Python solution for a product used by millions of users? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1659,Product Companies,Intuit,Backend Engineer,Online Assessment,Microservices,Hard,What are the most important trade-offs when working with Microservices? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1660,Automotive Companies,Valeo,Backend Engineer,Technical Round,Computer Vision,Hard,What safety or reliability concerns arise with Computer Vision? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1661,HR/Behavioral,Accenture,Cloud Engineer,Behavioral Round,Decision Making,Medium,Tell me about a time you worked with someone whose working style differed from yours. Include how you measured whether the outcome was successful.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1662,Product Companies,ServiceNow,Cloud Engineer,Managerial Round,Debugging,Hard,What are the most important trade-offs when working with Debugging? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1663,Service Companies,HCLTech,Cloud Engineer,Coding Round,Project Discussion,Easy,Explain Project Discussion with a practical example. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1664,Service Companies,Coforge,Software Engineer,System Design,Problem Solving,Easy,How would you test a solution based on Problem Solving? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1665,AI/ML Companies,Oracle,Data Scientist,Managerial Round,Statistics,Hard,How would you explain Statistics to an engineering team that has not used it before? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1666,Service Companies,Coforge,Backend Engineer,HR Round,Problem Solving,Hard,What are the common mistakes candidates make when working with Problem Solving? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1667,Service Companies,Virtusa,Full Stack Engineer,Managerial Round,Java,Easy,What questions would you ask before implementing Java for a client? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1668,Product Companies,Dell Technologies,Cloud Engineer,Coding Round,Computer Networks,Medium,Compare two common approaches to Computer Networks. When would you choose each? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1669,Cybersecurity Companies,Check Point Software,DevOps Engineer,System Design,Secure Coding,Medium,How would you respond if a production system showed signs of compromise involving Secure Coding? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1670,Cybersecurity Companies,Zscaler,Cloud Engineer,Technical Round,Application Security,Hard,Explain Application Security and give an example of how it protects an enterprise. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1671,Service Companies,Infosys,Systems Engineer,HR Round,Java,Medium,What questions would you ask before implementing Java for a client? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1672,Cybersecurity Companies,Rapid7,Full Stack Engineer,System Design,Threat Hunting,Hard,What logs or telemetry would you collect for Threat Hunting? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1673,Cybersecurity Companies,Microsoft Security,QA Engineer,Managerial Round,Security Architecture,Medium,What logs or telemetry would you collect for Security Architecture? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1674,Automotive Companies,Aptiv,Full Stack Engineer,Managerial Round,ECU,Easy,How would you validate a solution based on ECU before production? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1675,Cloud Companies,Nutanix,ML Engineer,HR Round,Reliability,Easy,How would you monitor and alert on a system using Reliability? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1676,Service Companies,Persistent Systems,Cloud Engineer,System Design,Computer Networks,Medium,How would you troubleshoot a client issue involving Computer Networks? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1677,Product Companies,eBay,Data Engineer,Managerial Round,API Design,Hard,How would you improve an existing system that has problems related to API Design? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1678,Cloud Companies,Akamai,Security Engineer,System Design,Docker,Hard,How would you design a highly available system using Docker? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1679,Service Companies,Capgemini,Security Engineer,Technical Round,OOP,Medium,How would you explain OOP to a non-technical client? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1680,HR/Behavioral,Infosys,Systems Engineer,Managerial Round,Career Goals,Easy,Describe a time when you had to make a decision with incomplete information. Mention what you would do differently now.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1681,Cloud Companies,Dell Technologies,DevOps Engineer,Technical Round,Cloud Architecture,Medium,How would you design a highly available system using Cloud Architecture? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1682,Product Companies,Qualcomm,Backend Engineer,HR Round,System Design,Easy,Compare two common approaches to System Design. When would you choose each? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1683,HR/Behavioral,TCS,Backend Engineer,System Design,Leadership,Medium,Where do you see yourself developing over the next few years?,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1684,AI/ML Companies,Samsung,Software Engineer,Managerial Round,Probability,Medium,What data problems can affect a solution based on Probability? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1685,HR/Behavioral,TCS,Data Engineer,Behavioral Round,Leadership,Medium,Tell me about a time you improved an inefficient process. Explain what you learned from the experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1686,Product Companies,Atlassian,Frontend Engineer,Managerial Round,Python,Easy,Describe an implementation of Python and explain its time or resource complexity. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1687,Product Companies,Microsoft,Data Engineer,Managerial Round,Operating Systems,Hard,How would you debug a production issue involving Operating Systems? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1688,Product Companies,Salesforce,Cloud Engineer,Managerial Round,Java,Easy,Compare two common approaches to Java. When would you choose each? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1689,Product Companies,Cisco,Frontend Engineer,Online Assessment,Computer Networks,Hard,What failure scenarios should be considered when designing around Computer Networks? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1690,HR/Behavioral,NVIDIA,DevOps Engineer,Managerial Round,Communication,Easy,How do you keep your technical skills up to date? Give a specific example from an academic or project experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1691,Product Companies,Adobe,DevOps Engineer,Online Assessment,SQL,Medium,How would you design a scalable SQL solution for a product used by millions of users? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1692,Service Companies,LTIMindtree,Frontend Engineer,System Design,SQL,Easy,How would you troubleshoot a client issue involving SQL? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1693,AI/ML Companies,Hewlett Packard Enterprise,Software Engineer,Managerial Round,Python,Hard,How would you monitor a production system involving Python? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1694,Cloud Companies,Red Hat,Data Scientist,Online Assessment,Distributed Systems,Easy,How would you design a highly available system using Distributed Systems? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1695,Cybersecurity Companies,CyberArk,Data Scientist,Technical Round,Incident Response,Hard,What are the most common weaknesses associated with Incident Response? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1696,Automotive Companies,ZF,Frontend Engineer,Managerial Round,Computer Vision,Hard,How would you test a component involving Computer Vision? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1697,Service Companies,Wipro,Frontend Engineer,Online Assessment,Project Discussion,Easy,Describe a project where Project Discussion could be used effectively. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1698,Service Companies,Coforge,Frontend Engineer,Technical Round,Coding,Easy,How would you test a solution based on Coding? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1699,Product Companies,Texas Instruments,ML Engineer,HR Round,DBMS,Medium,How would you debug a production issue involving DBMS? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1700,Service Companies,Deloitte,Frontend Engineer,Technical Round,Operating Systems,Medium,Write a solution for a programming problem involving Operating Systems. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1701,AI/ML Companies,AMD,Cloud Engineer,System Design,Machine Learning,Hard,"How would you improve the accuracy, latency, or reliability of a system using Machine Learning? Give a concrete example.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1702,Cybersecurity Companies,F5,Systems Engineer,Coding Round,Authentication,Medium,Compare two security approaches related to Authentication. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1703,Product Companies,Visa,QA Engineer,Coding Round,System Design,Hard,What are the most important trade-offs when working with System Design? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1704,Product Companies,Texas Instruments,Frontend Engineer,Managerial Round,Operating Systems,Medium,How would you design a scalable Operating Systems solution for a product used by millions of users? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1705,AI/ML Companies,IBM,Software Engineer,Managerial Round,Feature Engineering,Medium,What assumptions are important when applying Feature Engineering? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1706,Service Companies,Virtusa,Security Engineer,HR Round,Project Discussion,Easy,Write a solution for a programming problem involving Project Discussion. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1707,Service Companies,Hexaware,Data Engineer,Technical Round,Testing,Medium,Compare two approaches to Testing and discuss their advantages. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1708,Cloud Companies,Akamai,Full Stack Engineer,HR Round,Docker,Medium,What security risks should be considered when using Docker? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1709,Cloud Companies,Microsoft,Full Stack Engineer,Coding Round,Cloud Architecture,Medium,What security risks should be considered when using Cloud Architecture? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1710,Automotive Companies,Kia,Full Stack Engineer,HR Round,CAN Bus,Easy,How would you test a component involving CAN Bus? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1711,Product Companies,Workday,Cloud Engineer,Technical Round,API Design,Medium,What failure scenarios should be considered when designing around API Design? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1712,Cloud Companies,Red Hat,Data Scientist,Managerial Round,Reliability,Medium,How would you reduce cost without sacrificing reliability in a Reliability architecture? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1713,Cloud Companies,Hewlett Packard Enterprise,QA Engineer,System Design,Kubernetes,Easy,How would you troubleshoot a failure involving Kubernetes? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1714,Cloud Companies,Nutanix,DevOps Engineer,Technical Round,Cloud Architecture,Easy,What security risks should be considered when using Cloud Architecture? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1715,Service Companies,NTT DATA,Data Engineer,System Design,Aptitude,Medium,What are the common mistakes candidates make when working with Aptitude? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1716,Product Companies,SAP,QA Engineer,System Design,JavaScript,Hard,"What performance problems can occur with JavaScript, and how would you identify them? Include the key trade-offs.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1717,AI/ML Companies,Samsung,Full Stack Engineer,Technical Round,Statistics,Medium,"How would you improve the accuracy, latency, or reliability of a system using Statistics? Mention the main metrics you would monitor.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1718,Automotive Companies,Bosch,Data Scientist,Online Assessment,ISO 26262,Easy,What real-time constraints matter when designing with ISO 26262? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1719,Product Companies,Dell Technologies,Full Stack Engineer,Online Assessment,Python,Easy,How would you debug a production issue involving Python? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1720,Cybersecurity Companies,IBM Security,Data Engineer,HR Round,Security Architecture,Hard,How would you respond if a production system showed signs of compromise involving Security Architecture? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1721,Service Companies,Genpact,Full Stack Engineer,Coding Round,Testing,Medium,How would you troubleshoot a client issue involving Testing? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1722,HR/Behavioral,HCLTech,Cloud Engineer,Behavioral Round,Leadership,Medium,Tell me about a time you worked with someone whose working style differed from yours. Explain what you learned from the experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1723,Service Companies,Tech Mahindra,DevOps Engineer,Technical Round,Computer Networks,Easy,What questions would you ask before implementing Computer Networks for a client? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1724,Cloud Companies,Akamai,Cloud Engineer,Technical Round,Containers,Hard,Explain Containers and describe a practical production use case. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1725,Service Companies,Tech Mahindra,Data Scientist,HR Round,Cloud Basics,Hard,Describe a project where Cloud Basics could be used effectively. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1726,Service Companies,DXC Technology,ML Engineer,HR Round,Cloud Basics,Easy,How would you explain Cloud Basics to a non-technical client? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1727,Service Companies,Coforge,Cloud Engineer,Coding Round,Aptitude,Easy,Describe a project where Aptitude could be used effectively. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1728,Cybersecurity Companies,Qualys,Security Engineer,System Design,Cloud Security,Hard,How would you investigate a security incident involving Cloud Security? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1729,AI/ML Companies,Samsung,Frontend Engineer,Online Assessment,Deep Learning,Hard,Explain Deep Learning and discuss where it is useful in a production ML system. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1730,Automotive Companies,Kia,ML Engineer,Technical Round,Battery Management,Hard,Explain Battery Management and describe its role in an automotive system. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1731,Cloud Companies,ServiceNow,Systems Engineer,HR Round,Distributed Systems,Hard,What are the availability and reliability trade-offs of Distributed Systems? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1732,Cybersecurity Companies,Microsoft Security,Software Engineer,Online Assessment,Security Architecture,Medium,How would you validate that a control based on Security Architecture is working? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1733,Product Companies,PayPal,Backend Engineer,Managerial Round,System Design,Medium,What failure scenarios should be considered when designing around System Design? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1734,Cybersecurity Companies,Check Point Software,Systems Engineer,Technical Round,Network Security,Easy,How would you detect suspicious activity related to Network Security? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1735,Cloud Companies,Oracle,Frontend Engineer,Online Assessment,CI/CD,Medium,How would you troubleshoot a failure involving CI/CD? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1736,AI/ML Companies,Samsung,Data Engineer,Coding Round,Python,Hard,What assumptions are important when applying Python? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
1737,Cloud Companies,Cisco,QA Engineer,HR Round,Distributed Systems,Easy,How would you scale a system built around Distributed Systems? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
